,Li,lamb,Co,Al,u,eta,Date
25,10.0,7.395355716609969e-05,0.0,1.0,-4.5,-0.0003327910072474486,2018-01-05
26,12.0,7.395355716609969e-05,0.0,1.0,-5.5,-0.0004067445644135483,2018-01-05
27,1.0,0.9857824823578248,3372.0,6126.0,0.2752203721841332,0.2713074216871193,2018-01-08
28,2.0,0.013283520132835201,11.0,117.0,-0.405982905982906,-0.005392882105210872,2018-01-08
29,3.0,0.0006226650062266501,0.0,6.0,-1.0,-0.0006226650062266501,2018-01-08
30,4.0,0.00010377750103777501,0.0,1.0,-1.5,-0.00015566625155666251,2018-01-08
31,6.0,0.00010377750103777501,1.0,0.0,inf,inf,2018-01-08
32,21.0,0.00010377750103777501,0.0,1.0,-10.0,-0.0010377750103777502,2018-01-08
33,1.0,0.9872881355932204,3813.0,6671.0,0.28578923699595266,0.2821563229663431,2018-01-09
34,2.0,0.012429378531073447,12.0,120.0,-0.4,-0.004971751412429379,2018-01-09
35,3.0,9.416195856873823e-05,0.0,1.0,-1.0,-9.416195856873823e-05,2018-01-09
36,4.0,9.416195856873823e-05,0.0,1.0,-1.5,-0.00014124293785310735,2018-01-09
37,5.0,9.416195856873823e-05,0.0,1.0,-2.0,-0.00018832391713747646,2018-01-09
38,1.0,0.9835714285714285,7060.0,10840.0,0.32564575645756455,0.3202958618871903,2018-01-10
39,2.0,0.016043956043956045,32.0,260.0,-0.3769230769230769,-0.006047337278106509,2018-01-10
40,3.0,0.00032967032967032967,0.0,6.0,-1.0,-0.00032967032967032967,2018-01-10
41,4.0,5.4945054945054945e-05,0.0,1.0,-1.5,-8.241758241758242e-05,2018-01-10
42,1.0,0.9761039478269528,7570.0,12036.0,0.314473246925889,0.3069585778103204,2018-01-11
43,2.0,0.02299995021655797,42.0,420.0,-0.4,-0.00919998008662319,2018-01-11
44,3.0,0.0007467516304077264,0.0,15.0,-1.0,-0.0007467516304077264,2018-01-11
45,4.0,4.978344202718176e-05,0.0,1.0,-1.5,-7.467516304077264e-05,2018-01-11
46,5.0,4.978344202718176e-05,1.0,0.0,inf,inf,2018-01-11
47,6.0,4.978344202718176e-05,0.0,1.0,-2.5,-0.0001244586050679544,2018-01-11
48,1.0,0.9616425834124389,10957.0,16394.0,0.33417713797730875,0.3213589662818742,2018-01-12
49,2.0,0.03269697289315473,128.0,802.0,-0.34039900249376553,-0.01113001695739556,2018-01-12
50,3.0,0.0035158035368983583,13.0,87.0,-0.7758620689655171,-0.002727778606214243,2018-01-12
51,4.0,0.0009844249903315403,3.0,25.0,-1.26,-0.0012403754878177408,2018-01-12
52,5.0,0.00042189642442780296,0.0,12.0,-2.0,-0.0008437928488556059,2018-01-12
53,6.0,0.0003164223183208522,1.0,8.0,-2.125,-0.000672397426431811,2018-01-12
54,7.0,0.00021094821221390148,0.0,6.0,-3.0,-0.0006328446366417044,2018-01-12
55,8.0,3.515803536898358e-05,0.0,1.0,-3.5,-0.0001230531237914425,2018-01-12
56,9.0,3.515803536898358e-05,0.0,1.0,-4.0,-0.0001406321414759343,2018-01-12
57,10.0,3.515803536898358e-05,0.0,1.0,-4.5,-0.0001582111591604261,2018-01-12
58,13.0,7.031607073796716e-05,0.0,2.0,-6.0,-0.00042189642442780296,2018-01-12
59,14.0,3.515803536898358e-05,0.0,1.0,-6.5,-0.00022852722989839325,2018-01-12
60,1.0,0.9573617136659436,6283.0,7839.0,0.40075264702130375,0.38366524090847837,2018-01-15
61,2.0,0.03999457700650759,135.0,455.0,-0.20329670329670324,-0.008130765655169124,2018-01-15
62,3.0,0.0021691973969631237,7.0,25.0,-0.5800000000000001,-0.0012581344902386118,2018-01-15
63,4.0,0.00040672451193058567,0.0,6.0,-1.5,-0.0006100867678958785,2018-01-15
64,5.0,6.778741865509762e-05,1.0,0.0,inf,inf,2018-01-15
65,1.0,0.972112676056338,6841.0,10413.0,0.32848362623643523,0.319323096941391,2018-01-18
66,2.0,0.026535211267605635,38.0,433.0,-0.4122401847575058,-0.010938880395537197,2018-01-18
67,3.0,0.0012957746478873238,2.0,21.0,-0.8571428571428572,-0.0011106639839034206,2018-01-18
68,4.0,5.6338028169014086e-05,0.0,1.0,-1.5,-8.450704225352113e-05,2018-01-18
69,1.0,0.9683870260793338,7449.0,10225.0,0.3642542787286064,0.35273911771466787,2018-01-19
70,2.0,0.02898312513697129,83.0,446.0,-0.31390134529147984,-0.009097841971246594,2018-01-19
71,3.0,0.0015340784571553803,3.0,25.0,-0.8200000000000001,-0.001257944334867412,2018-01-19
72,4.0,0.00043830813061582295,1.0,7.0,-1.2142857142857144,-0.0005322313014620708,2018-01-19
73,5.0,0.00027394258163488934,1.0,4.0,-1.375,-0.00037667104974797286,2018-01-19
74,6.0,0.0003287310979618672,1.0,5.0,-1.9000000000000004,-0.0006245890861275478,2018-01-19
75,7.0,5.478851632697787e-05,1.0,0.0,inf,inf,2018-01-19
